music_id,ymd,price_high,price_low,price_close,pct_price_change,cnt_units_traded
21,2021-02-01,48800,47700,48100,-1.0,25
21,2021-02-02,48800,48500,48800,1.5,22
21,2021-02-03,48800,48000,48700,-0.2,39
21,2021-02-04,48800,48100,48800,0.2,14
21,2021-02-05,48800,48200,48400,-0.8,7
21,2021-02-06,49100,48200,49100,1.4,30
21,2021-02-07,49100,48900,48900,-0.4,10
21,2021-02-08,49100,49000,49100,0.4,14
21,2021-02-09,49200,48100,49200,0.2,15
21,2021-02-10,49100,48500,49100,-0.2,11
21,2021-02-11,49300,48500,48700,-0.8,33
21,2021-02-12,49000,48600,49000,0.6,6
21,2021-02-13,49300,49000,49300,0.6,7
21,2021-02-14,48800,48000,48500,-1.6,22
21,2021-02-15,49000,48300,49000,1.0,2
21,2021-02-16,49300,48400,49100,0.2,30
21,2021-02-17,49100,48400,48400,-1.4,11
21,2021-02-18,49000,48500,48700,0.6,18
21,2021-02-19,49000,48600,48600,-0.2,12
21,2021-02-20,48600,48300,48600,0.0,16
21,2021-02-21,48700,48200,48700,0.2,41
21,2021-02-22,49000,48600,48600,-0.2,10
21,2021-02-23,49300,48600,49100,1.0,40
21,2021-02-24,49000,48500,49000,-0.2,25
21,2021-02-25,49200,48700,49200,0.4,49
21,2021-02-26,49300,48700,49300,0.2,24
21,2021-02-27,49300,48700,49300,0.0,0
21,2021-02-28,49200,48500,48500,-1.6,13
21,2021-03-01,48600,48500,48600,0.2,3
21,2021-03-02,49400,47700,48900,0.6,70
21,2021-03-03,48900,48100,48900,0.0,9
21,2021-03-04,48900,48600,48800,-0.2,17
21,2021-03-05,49000,48500,48500,-0.6,62
21,2021-03-06,49600,48700,49600,2.3,110
21,2021-03-07,49700,48600,49700,0.2,29
21,2021-03-08,49600,48700,48700,-2.0,6
21,2021-03-09,49600,48800,48800,0.2,20
21,2021-03-10,49600,48700,48700,-0.2,18
21,2021-03-11,49600,48700,48700,0.0,13
21,2021-03-12,49500,48500,48500,-0.4,20
21,2021-03-13,49400,49400,49400,1.9,1
21,2021-03-14,49500,48400,49500,0.2,6
21,2021-03-15,49600,48400,49600,0.2,16
21,2021-03-16,49600,48800,49100,-1.0,14
21,2021-03-17,49700,48400,49600,1.0,34
21,2021-03-18,49600,48500,48600,-2.0,20
21,2021-03-19,49900,48600,49900,2.7,72
21,2021-03-20,49900,49800,49800,-0.2,21
21,2021-03-21,50300,49900,50300,1.0,47
21,2021-03-22,50700,49900,49900,-0.8,47
21,2021-03-23,51000,49200,50300,0.8,12
21,2021-03-24,50800,49300,49400,-1.8,8
21,2021-03-25,50900,49600,50500,2.2,20
21,2021-03-26,50900,49800,49800,-1.4,22
21,2021-03-27,51500,50400,51500,3.4,44
21,2021-03-28,52000,51000,52000,1.0,29
21,2021-03-29,52700,51500,52700,1.3,28
21,2021-03-30,53000,52000,52900,0.4,30
21,2021-03-31,53800,51300,53800,1.7,57
21,2021-04-01,53900,50600,53600,-0.4,68
21,2021-04-02,53800,53300,53800,0.4,41
21,2021-04-03,56000,51200,56000,4.1,108
21,2021-04-04,70000,55200,63000,12.5,218
21,2021-04-05,64100,56400,58600,-7.0,86
21,2021-04-06,60000,57200,59700,1.9,68
21,2021-04-07,63000,59100,62900,5.4,89
21,2021-04-08,64200,61200,64000,1.7,72
21,2021-04-09,65500,61400,65500,2.3,57
21,2021-04-10,68700,65000,68100,4.0,113
21,2021-04-11,74200,68000,74200,9.0,147
21,2021-04-12,75800,67500,71000,-4.3,72
